CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
38237090,Outros alcoóis graxos industriais,Other industrial fatty alcohols,Los dem.alcoholes grasos industriales,Autres alcools gras industriels
38241000,Aglutinantes preparados para moldes ou para núcleos de fundição,Prepared binders for foundry moulds or cores,Prepars.aglutinantes p/moldes o núcleos de fundición,Liants préparés pour moules ou noyaux de fonderie
38242010,Acido naftênico e seus ésteres,Naphthenic acids and their esters,Ácido nafténico y sus ésteres,Acide naphténique et les esters
38242020,"Sais dos ácidos naftênicos, insolúveis em água","Naphthenic acids, water-insoluble","Sales de los ácidos nafténicos, insolubles en agua","Les sels d'acides naphténiques, insoluble dans l'eau"
38243000,"Carbonetos metálicos não aglomerados, misturados entre si ou com aglutinantes metálicos","Non-agglomerated metal carbides mixed together, etc","Carburos metálicos s/aglomer.mezclados entre sí, etc","Carbures métalliques pas agglomérés, mélangés entre eux ou avec des liants métalliques"
38244000,"Aditivos preparados para cimentos, argamassas ou concretos","Prepared additives for cements, mortars or concretes","Aditivos preparados p/cementos, morteros o hormigones","Additifs préparés pour ciments, mortiers ou bétons"
38245000,"Argamassas e concretos, não refratários",Non-refractory mortars and concretes,"Morteros y hormigones,  no refractarios","Mortiers et bétons, non réfractaires"
38246000,"Sorbitol, exceto o da subposição 2905.44 (poliálcool d-glucitol)","Sorbitol, except the polyalcohol d-glucitol","Sorbitol,  excepto el polialcohol d-glucitol",Sorbitol autre que celui du n 2905.44 (polyol d-glucitol)
38247110,Misturas que contenham triclorotrifluoroetanos,Mixtures containing trichlorotrifluoroethane,Mezclas que contengan triclorotrifluoroetanos,Les mélanges contenant trichlorotrifluoroéthanes
38247190,Outras misturas contendo hidrocarboneto acíclico peralogenado com fluor e cloro,Ot.mixtures c/acycl.perhalog.hydroc.c/fluorine/chlorine,Las dem.mezclas c/hidroc.acícl.perhal.c/fluor y cloro,"Autres mélanges contenant  hydrocarbure acyclique perhalogéné, avec le fluor et du chlore"
38247200,"Outras misturas que contenham bromoclorodifluorometano, bromotrifluorometano ou dibromotetrafluoroetanos","Other mix. cont. bromochlorodifluoromethane,bromotrifluoromethane and dibromotetrafluoroethane","Otras mezclas que contenga bromoclorodifluorometano, bromotrifluorometano y dibromotetrafluoroetano","Autres mélanges contenant bromechlorodifluorométhane, brometrifluorométhane ou dibrometetrafluoroéthanes"
38247300,Outras misturas que contenham hidrobromofluorcarbonetos (HBFC),Other mixtures contain. hydrobromofluorocarbons (hbfc),Otras mezclas que contenga hidrobromofluorocarburo (hbfc),Autres mélanges contenant hydrobromefluorcarbures (HBFC)
38247410,Preparações que contenham clorodifluormetano e pentafluoretano,Prepared based on chlorodifluoromethane/pentafluoroethane,Preparados a base de clorodifluorometano/pentafluoroetano,Les préparations contenant du chlorodifluorométhane et le pentafluoroéthane
38247420,Preparações que contenham clorodifluormetano e clorotetrafluoretano,Prepared based on chlorodifluoromethane/chlorotetrafluoroethane,Preparados a base de clorodifluorometano/clorotetrafluoroetano,Préparations contenant chlorodifluorométhane et chlorotetrafluoréthane
38247490,Outros produtos preparados à base de compostos orgânicos,Other products prepared based on organic compounds,Otros productos preparados a base de compuestos orgánicos,Autres produits préparés à base de composés organiques
38247500,Misturas que contenham tetracloreto de carbono,Mixtures containing carbon tetrachloride,Mezclas que contengan tetracloruro de carbono,Mélanges contenant du tétrachlorure de carbone
38247600,"Misturas que contenham 1,1,1-tricloroetano (metilclorofórmio)","Mixtures containing 1,1,1-trichloroethane","Mezclas que contengan 1,1,1-tricloroetano","Les mélanges contenant du 1,1,1-trichloroéthane (méthylchloroforme)"
38247700,Misturas que contenham bromometano (brometo de metila) ou bromoclorometano,Mixtures containing bromomethane or bromochloromethane,Mezclas que contengam bromometano o bromoclorometano,Mélanges contenant du bromométhane (bromure de méthyle) ou du bromochlorométhane
38247810,Preparações que contenham tetrafluoretano e pentafluoretano,Prepared based on tetrafluoroethane/pentafluoroethane,Preparados a base de tetrafluoroetano/pentafluoroetano,Préparations contenant tétrafluoroéthane et le pentafluoroéthane
38247890,Outros produtos e preparações à base de compostos orgânicos,Other products prepared based on organic compounds,Otros productos preparados a base de compuestos orgánicos,D'autres produits et préparations à base de composés organiques
38247900,"Outras misturas com derivados peralogenados, etc",Oth.mixture c/acycl.perhalog.hydroc.acyclic 2 halog.dif,Las dem.mezclas c/deriv.perhal.hidroc.acícl.2 halog.dif,"D'autres mélanges avec des dérivés perhalogénés, etc."
38248110,"Mistura de óxido de propileno com um conteúdo de óxido de etileno inferior ou igual a 30 %, em peso",Mixture of propylene oxide with ethylene oxide <=30%,"Mezcla de óxido de propileno, c/cont.óxido etileno<=30%","Mélange d'oxyde de propylène avec une teneur en oxyde d'éthylène inférieure ne dépassant pas 30%, en poids"
38248190,Outros produtos e preparações à base de compostos orgânicos,Others products prepared based on organic compounds,Otros productos preparados a base de compuestos orgánicos,D'autres produits et préparations à base de composés organiques
38248200,"Misturas que contenham polibromobifenilas (PBB), policloroterfenilas (PCT) ou policlorobifenilas (PCB)","Mixture containing polibromofenilas(pbb), policloroterfenilas(pct) ou policlorobifenilas (pcb)","Mist.cont. polibromofenilas(pbb), policloroterfenilas(pct) o policlorobifenilas (pcb)","Les mélanges contenant polibromebiphényle (PBB), polichloroterphényle (PCT) ou polichlorobiphényle (PCB)"
38248300,"Misturas que contenham fosfato de tris(2,3-dibromopropila)","Mmixture containing fosf. de tris(2, 3-dibromopropila)","Mist. cont. fosf. de tris(2, 3-dibromopropila)","Les mélanges contenant phosphate de tris(2,3-dibromepropyle)"
38248400,"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham aldrin, canfecloro, clordano, clordecona , DDT, 1,1,1-tricloro-2,2-bis(p-clorofenil)etano), dieldrin, endossulfan, endrin, heptacloro ou mirex","Goods containing aldrin, camphechlor, chlordane, chlordecone, DDT, 1,1,1-trichloro-2,2-bis (p-chlorophenyl) ethane), dieldrin, endosulfan, endrin, heptachlor or mirex (ISO)","Las mercancías que contienen aldrín, canfeclor, clordano, clordecona, el DDT, el 1,1,1-tricloro-2,2-bis (p-clorofenil) etano), dieldrín, endosulfán, endrina, heptacloro o mirex (ISO)","Les marchandises contenant de l'aldrine, camphéchlore, chlordane, chlordécone, DDT, le 1,1,1-trichloro-2,2-bis (p-chlorophényl) éthane), dieldrine, endosulfan, endrine, heptachlore ou mirex"
38248500,"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham 1,2,3,4,5,6-hexaclorocicloexano (HCH (ISO)), incluindo o lindano (ISO, DCI)","Goods containing 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, DCI)","Las mercancías que contienen 1,2,3,4,5,6-hexaclorociclohexano (HCH (ISO)), incluido el lindano (ISO, DCI)","Les marchandises contenant 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), y compris le lindane (ISO, DCI)"
38248600,"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham pentaclorobenzeno (ISO) ou hexaclorobenzeno (ISO)",Goods containing pentachlorobenzene (ISO) or hexachlorobenzene (ISO),Las mercancías que contienen pentaclorobenceno (ISO) o hexaclorobenceno (ISO),Les marchandises contenant pentachlorobenzène (ISO) ou l'hexachlorobenzène (ISO)
38248700,"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham ácido perfluoroctano sulfônico, seus sais, perfluoroctanossulfonamidas, ou fluoreto de perfluoroctanossulfonila","Goods containing perfluorocarbon sulfonic acid, its salts, perfluoroctane sulfonamide, or perfluoroctanosulfonyl fluoride","Las mercancías que contienen ácido sulfónico de perfluorooctano, sus sales, perfluorooctano sulfonamida, o perfluoroctanossulfonila fluoruro","Les marchandises contenant de l'acide perfluorooctane sulfonique, ses sels, sulfonamide perfluorooctane, ou perfluoroctanossulfonila fluorure"
38248800,"Mercadorias mencionadas na Nota de subposições 3 do presente Capítulo, que contenham éteres tetra-, penta-, hexa-, hepta- ou octabromodifenílicos","Goods containing éthers tetra-, penta-, hexa-, hepta- and octa-bromo-diphenyl","Las mercancías que contienen éteres tetra-, penta-, hexa-, hepta- ou octa bromo difenílicos","Les marchandises contenant des éthers tétra-, penta-, hexa-, hepta- ou octa brome diphényle"
38249011,Salinomicina micelial,Mycellial salinomycin,Salinomicina micelial,Salinomycine mycélium
38249012,"Produtos intermediários, com teor de cianocobalamina inferior ou igual a 55 %, em peso",Interm.product.cont.<=55% by weight of cyanocobalamine,Prods.intermeds.c/cont.de cianocobalamina<=55% en peso,Produits intermédiaires avec la teneur de cyanocobalamine <= 55% en poids
38249013,Produtos intermediários da fabricação da primicina amônica,Interm.product.of the manufacture of primycin ammonium,Prods.intermediarios de la fabric.de primicina amónica,Les produits intermédiaires de la fabrication de la primycine anionique
38249014,"Senduramicina sódica, da fabricação da senduramicina","Senduramycin sodium, of the manufacture of senduramycin","Senduramicina sódica, de la fabricación de senduramicina","Senduramicine sodique, fabrication de senduramicine"
38249015,"Maduramicina amônica, em solução alcoólica, da fabricação da maduramicina","Maduramycin ammonium, in sol.alcohol, of manuf.maduramyc.","Maduramicina amónica, en sol.alcohól.de la fabr.maduram.","Maduramycine anionique en solution alcoolique, fabrication de maduramycine"
38249019,"Outros produtos intermediários da fabricação de antibióticos, vitaminas, etc","Oth.interm.produc.of manuf.antibiotic, vitamin, etc.","Los dem.prods.interm.de fabr.antibióticos, vitaminas, etc","D'autres produits intermédiaires dans la fabrication des antibiotiques, des vitamines, etc."
38249021,Ácidos graxos dimerizados; preparações contendo ácidos graxos dimerizados,Dimerized fatty acids,Ácido graso dimerizado,Acides gras (graisses) dimérisé
38249022,Preparações contendo estearoilbenzoilmetano e palmitoilbenzoilmetano; preparações contendo caprilato e caprato de propilenoglicol,Preparations containing dimerized fatty acids,Preparacs.que contengan ácidos grasos dimerizados,Préparations contenant des acides gras dimérisés
38249023,Preparações contendo triglicerídios dos ácidos caprílico e cáprico,Prepar./stearoylbenzoylmethane/ palmitoylbenzoylmethane,"Prepars.c/estearoilbenzoilmetano, palmitoilbenzoilmetano",Préparations contenant des triglycérides des acides caprylique et caprique
38249024,Ésteres de álcoois graxos de C12 a C20 do ácido metacrílico e suas misturas; ésteres de ácidos monocarboxílicos de C10 ramificados com glicerol,Prep.c/propylene glycol caprylate/propylene glycol capr,Prepars.q cont.caprilato y caprato de propilenglicol,Esters d'alcools gras de C12 à C20 de l'acide méthacrylique et leurs mélanges; les esters d'acides monocarboxyliques de C10 ramifiés avec le glycérol
38249025,"Misturas de ésteres dimetílicos dos ácidos adípico, glutárico e succínico; misturas de ácidos dibásicos de C11 e C12; ácidos naftênicos, seus sais insolúveis em água e seus ésteres",Preparations c/caprylic and capric acid triglycerides,Prepars.c/triglicéridos de ácidos caprílico y cáprico,"Des mélanges d'esters diméthyliques des acides adipique, glutarique et succinique; des mélanges d'acides dibasiques C11 et C12; les acides naphténiques, leurs sels et esters insolubles dans l'eau"
38249026,Ésteres de alcoóis graxos de c12/c20 do ácido metacrílico,Esters of fatty alcohols c12/c20 with methacrylic acid,Ésteres de alcoh.grasos de c12/c20 de ác.metacrílico,Esters d'alcools gras en c12/c20 de l'acide méthacrylique
38249027,Ésteres de ácidos monocarboxílicos de c10 ramificados com glicerol,Esters of c10 monocarboxylic acids w/glycerol bran.ch.,Ésteres de ácidos monocarboxíl.de c10 ramifs.c/glicerol,Esters d'acides monocarboxyliques  de C10 ramifiés avec le glycérol
38249028,"Misturas de ésteres dimetílicos dos acidos adípico, etc.","Mixtures of dimethyl esters of adipic acid, etc","Mezclas de ésteres dimetílicos de ácidos adípicos, etc","Des mélanges d'esters diméthyliques d'acides adipique, etc."
38249029,"Outros derivados de ácidos graxos industriais, preparações, etc","Oth.derivatives of industrial fatty acids, prepar.etc","Los dem.derivados de ácid.grasos industriales, prep.etc","D'autres dérivés d'acides gras industriels, produits, etc."
38249031,Preparações que contenham isocianatos de hexametileno ou outros isocianatos,Preparations containing hexamethylene isocyanates,Preparaciones que contengan isocianatos de hexametileno,Préparations contenant des isocyanates d'hexaméthylène et d'autres isocyanates
38249032,Preparações que contenham aminas graxas de C8 a C22,Preparations containing other isocyanates,Preparaciones que contengan otros isocianatos,Préparations contenant des amines grasses de C8 à C22
38249033,"Preparações que contenham polietilenoaminas e dietilenotriaminas, próprias para a coagulação do látex",Preparations containing fatty amines c8 to c22,Preparaciones que contengan aminas grasas de c8 a c22,"Préparations contenant polyéthylèneamines et diéthylènetriamines, propres à coagulation du latex"
38249034,Outras preparações que contenham polietilenoaminas,"Prepar.cont.polyethylene amines, etc.forcoagulating latex","Prepars.c/polietilenaminas, etc.p/coagulación del látex",Autres préparations contenant polyéthylèneamines
38249035,"Misturas de mono-, di- e triisopropanolaminas",Other preparations containing polyethylamines,Las dem.preparaciones que contengan polietilenaminas,"Les mélanges de mono-, di- et triisopropanolamines"
38249036,Reticulantes para silicones,"Mixtures of mono-,  di- and triisopropanolamines","Mezclas de mono-, di- y triisopropanolaminas",Les agents de réticulation pour les silicones
38249037,Reticulantes para silicones,Reticulants for silicons,Reticulantes para siliconas,Les agents de réticulation pour les silicones
38249039,"Outras misturas e preparações para borracha ou plásticos e outras misturas e preparações para endurecer resinas sintéticas, colas, pinturas ou usos similares","Oth.prepar.forrubber/plastic, forresin hardened, etc","Las dem.prepar.p/caucho/plásticos, p/endurec.resinas, etc","Autres mélanges et préparations pour caoutchouc ou matières plastiques et d'autres mélanges et préparations pour le durcissement des résines synthétiques, des adhésifs, des peintures ou des utilisations similaires"
38249041,"Preparações desincrustantes, anticorrosivas ou antioxidantes","Anti-scaling, anti-rust preparat.or oxidation inhibitors","Prepars.desincrustantes, anticorrosivas o antioxidantes","Préparations antioxydantes, anticorrosion"
38249042,Mistura eutética de difenila e óxido de difenila,Eutectic mixture of diphenol and diphenol oxide,Mezcla eutéctica de difenilo y óxido de difenilo,Mélange eutectique de diphényle et d'oxyde de diphényle
38249043,"Preparações à base de trimetil-3,9-dietildecano","Preparations containing trimethyl-3, 9-diethyldecane","Preparaciones que contengan trimetil-3, 9-dietildecano","Préparations contenant triméthyl-3, 9-dietildecane"
38249049,Outros fluidos para transferência de calor,Other fluids for transfer of heat,Los demás fluidos para transferencia de calor,D'autres fluides de transfert de chaleur
38249051,Antiespumantes contendo fosfato de tributila em solução de álcool isopropílico,Foam inhibitors c/tributyl phosphate sol.in isopr.alcoh,"Antiespumantes c/fosfato tributilo, sol.alcoh.isopropil",Les antimousses contenant du phosphate de tributyle dans une solution d'alcool isopropylique
38249052,Misturas de polietilenoglicóis,Mixed polyethylene glycols,Mezclas de polietilenglicoles,Des mélanges de polyéthylèneglycols
38249053,Polipropilenoglicol líquido,Liquid polypropylene glycol,Polipropilenglicol líquido,Polypropylèneglycol liquide
38249054,Retardante de chama contendo misturas de trifenilfosfatos isopropilados,Flame-retardants c/mixed isopr.triphenyl phosphates,Retardante de llama c/mezclas trifenilfosfatos isoprop,Retardateur de flamme contenant des mélanges de triphénylephosphates isopropylé
38249059,"Outras preparações contendo ésteres de ácido inorgânico/seus derivados, etc","Other prep.c/esters inorg.acid/its derivatives, etc.",Las dem.prepar.c/ésteres de ácido inorgán/sus deriv.etc,"Autres préparations contenant des esters d'acides inorganiques/dérivés, etc."
38249061,Preparações de tetrafluoretano e pentafluoretano,Prep.based on tetrafluoroethand and pentafluoroethane,Preparaciones de tetrafluoroetano y pentafluoroetano,Préparations tétrafluoroéthane et pentafluoroéthane
38249062,Preparações de clorodifluormetano e pentafluoretano,Prep.based on chlorodifluoromethane/pentafluoroethane,Preparaciones de clorodifluorometano y pentafluoroetano,Préparations de chlorodifluorométhane et le pentafluoroéthane
38249063,Preparações de clorodifluormetano e clorotetrafluoretano,Prep.based on chlorodifluoromethane/chlorotetrafluor.,Prepars.de clorodifluorometano y clorotetrafluoroetano,Préparations chlorodifluorométhane et clorotetrafluoretano
38249071,Cal sodada; carbonato de cálcio hidrófugo,Soda-lime and water repellent calcium carbonate,Cal sodada y carbonato de calcio hidrófugo,Carbonate de calcium étanche à l'eau
38249072,"Preparações à base de sílica em suspensão coloidal; nitreto de boro de estrutura cristalina cúbica, compactado com substrato de carbeto de tungstênio (volfrâmio)","Prep.with a basis of silica in colloidal suspension, etc","Preparacs.a base de sílice en suspensión coloidal, etc.","Préparations à base de silice dans suspension colloïdale; du nitrure de bore de structure cristalline cubique, comprimé avec le substrat de carbure de tungstène"
38249073,Preparações à base de carbeto de tungstênio (volfrâmio) com níquel como aglomerante; brometo de hidrogênio em solução,Prep.with a basis of tungsten carbide nickel=agglom.etc,"Prepars.a base de carburo volframio, níquel=aglomer.etc.",Préparations à base de carbure de tungstène (wolfram) avec du nickel comme liant; bromure d'hydrogène en solution
38249074,"Preparações à base de hidróxido de níquel ou de cádmio, de óxido de cádmio ou de óxido ferroso férrico, próprios para a fabricação de acumuladores alcalinos","Prep.with a basis of hydroxide nickel/cadmium, etc","Preparaciones a base de hidróxido de níquel/cadmio, etc.","Préparations à base d'hydroxyde de nickel ou de cadmium, l'oxyde de cadmium ou l'oxyde de fer ferrique, approprié pour la production de accumulateurs alcalines"
38249075,Preparações utilizadas na elaboração de meios de cultura; trocadores de íons para o tratamento de águas; preparações à base de zeólitas artificiais,"Preparations used in the prepar.of culture media, etc.","Prepars.utilizadas en la elab.de medios de cultura, etc.","Les préparations utilisées dans la préparation des milieux de culture, etc."
38249076,Compostos absorventes à base de metais para aperfeiçoar o vácuo nos tubos ou válvulas elétricas,Getters for vacuum tubes,Compuestos absorb.a base metales p/perf.vacuo en tubos,"Composés absorbant à base de métaux, pour améliorer le vide dans les tubes ou soupapes électriques"
38249077,Adubos (fertilizantes) foliares contendo zinco ou manganês,Fertilizers or leaf feeds containing zinc and magnanese,Abonos o fertilizantes foliares q cont.cinc o manganeso,Engrais foliaires contenant du zinc ou le manganèse
38249078,"Preparações à base de óxido de alumínio e óxido de zircônio, com um conteúdo de óxido de zircônio superior ou igual a 20 %, em peso",Prep.based on aluminium oxide and zirconium oxide,Preparaciones a base de óxido de aluminio y de circonio,"Préparations d'oxyde d'aluminium et l'oxyde de zirconium, ayant une teneur  en zirconium oxyde supérieure ou égale à à 20%, en poids"
38249079,"Outros produtos e preparações à base de elementos químicos, etc","Other prod./prep.based on chemical elements, etc","Los dem.prod.y prepar.a base de elementos químicos, etc","D'autres produits et préparations à base d'éléments chimiques, etc."
38249081,"Preparações à base de anidrido poliisobutenilsuccínico, em óleo mineral","Prep.based on polyisobutenylsuc.anhydride, in min.oil","Prepars.de anhídrido poliisobutenilsuccinico, en ac.min","Préparations à base de l'anhydride d'poliisobutenilsuccínico, dans une huile minérale"
38249082,Halquinol; tetraclorohidroxiglicina de alumínio e zircônio,"Halquinol, esters mixtures of dimethylic acids, etc","Halquinol, mezclas de éteres dimetílicos de ácidos, etc",Halquinol; tetrachlorohydroxiglycine d'aluminium et zirconium
38249083,"Triisocianato de tiofosfato de fenila ou de trifenilmetano, em solução de cloreto de metileno ou de acetato de etila; preparações à base de tetraacetiletilenodiamina (TAED), em grânulos",Tiophosph.triisocianate phen./triphenylmet.in sol.etc,Triisocianato de tiofosfato fenilo/trifenilm.en sol.etc,"Triisocyanate de thiophosphate de phényle ou de triphénylméthane, en solution dans le chlorure de méthylène ou l'acétate d'éthyle; préparations de tétraacétyléthylènediamine (TAED), granulés"
38249084,"Mistura de óxido de propileno, com teor de óxido etileno <= 30%",Propylene oxide mixt.c/<= 30% b/weight of ethyl.oxide,"Mezcla de óxido de propileno, c/cont.óxido etileno<=30%",Mélange d'oxyde de propylène avec teneur de l'oxyde l'éthylène <= 30%
38249085,Metilato de sódio em metanol,Sodium methylate in methanol,Metilato de sodio en metanol,Le méthylate de sodium dans du methanol
38249086,Maneb; mancozeb; cloreto de benzalcônio,"Maneb, mancozeb and benzalkonium chloride","Maneb, mancozeb y cloruro de benzalconio","Le manèbe, le mancozèbe et le chlorure de benzalkonium"
38249087,Dispersão aquosa de microcápsulas de poliuretano ou de melamina-formaldeído contendo um precursor de corante em solventes orgânicos,"Aqueous dispers.of micro-capsules of polyurethane, etc","Dispersión acuosa de microcápsulas de poliuretano, etc.","Dispersion aqueuse de microcapsules de polyuréthane, etc."
38249088,"Misturas de dialogenetos n, n-dialquilfósforoamidico, etc","Mixtures of dihalogenated n, n-dialkyl phosphoroamid.etc","Mezclas de dialogenuros n, n-dihalquilfosforoamidico, etc","Des mélanges de dihalogénures de N, N-, etc."
38249089,Outros produtos e preparações à base de compostos orgânicos,Other produc./preparat. based on organic compounds,Los dem.prods.y prepars.a base de compuestos orgánicos,D'autres produits et préparations à base de composés organiques
38249090,"Outros produtos e preparações das indústrias químicas/indústrias conexas, etc.",Other produc./preparat.of chemical ind./allied ind.etc,"Los dem.prods.y prepars.de inds.químs/inds.conexas, etc.","Autres produits et préparations des industries chimiques et des industries liées, etc."
38249100,"Misturas e preparações constituídas principalmente por metilfosfonato de (5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5-il)metil metila e metilfosfonato de bis[(5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5-il)metila]","Mixtures and preparations consisting mainly of methylphosphonate of (5-ethyl-2-methyl-2-oxide-1,3,2-dioxaphosphinan-5-il) methyl methyle and methylphosphonate of bis [(5-ethyl-2-methyl-2 -oxide-1,3,2-dioxaphosphinan-5-il) methyl]","Las mezclas y preparados que contienen principalmente metilfosfonato de (5-etil-2-metil-2-oxido-1,3,2-dioxafosfinan-5-il)metil metila y metilfosfonato de bis [(5-etil-2-óxido--1,3,2-dioxafosfinan-5-il)metila]","Préparations et mélanges constitués essentiellement demethylphosphonate of (5-ethyl-2-methyl-2-oxide-1,3,2-dioxaphosphinan-5-il) methyl methyle et methylphosphonate de bis [(5-ethyl-2-methyl-2 -oxide-1,3,2-dioxaphosphinan-5-il) methyl]"
38249911,Salinomicina micelial,Salinomycin mycelial,Micelio salinomicina,Mycélium salinomycine
38249912,"Produtos intermediários da fabricação de antibióticos ou de vitaminas ou de outros produtos da posição 29.36, com um teor de cianocobalamina inferior ou igual a 55 %, em peso","Intermediate products for the manufacture of antibiotics or vitamins or other products of Heading 2936, with a cyanocobalamin content not exceeding 55%, by weight","Productos intermedios de la fabricación de antibióticos o vitaminas u otros productos de la Partida 29.36, con un contenido de cianocobalamina inferior o igual a 55%, en peso","Produits intermédiaires de la fabrication d'antibiotiques ou de vitamines ou d'autres produits du n. 29.36, avec une teneur de cyanocobalamin inférieure ou égale à 55%, en poids"
38249913,"Produtos intermediários da fabricação de antibióticos ou de vitaminas ou de outros produtos da posição 29.36, da fabricação da primicina amônica","Intermediate products for the manufacture of antibiotics or of vitamins or other products of Heading 29.36, of the manufacture of primicine ammonium","Productos intermedios de la fabricación de antibióticos o vitaminas u otros productos de la Partida 29.36, de la fabricación de la primicina amônica","Produits intermédiaires de la fabrication d'antibiotiques ou de vitamines ou d'autres produits du n. 29.36, de la fabrication de la primycine amonique"
38249914,"Senduramicina sódica, da fabricação da senduramicina","Sodium senduramicina, from the manufacturing process of senduramicina","Senduramicina de sodio, de la fabricación de senduramicina","Sodium senduramicina, obtenu pour la fabrication de senduramicina"
38249915,"Maduramicina amônica, em solução alcoólica, da fabricação da maduramicina","Maduramicin ammonium in alcoholic solution, from the manufacture of maduramicin","Maduramicina de amonio, en solución alcohólica, de la fabricación de maduramicina","Maduramicine ammonique , en solution alcoolique, de la fabrication de la maduramicine"
38249919,Outros produtos intermediários da fabricação de antibióticos ou de vitaminas ou de outros produtos da posição 29.36,Other intermediate products for the manufacture of antibiotics or of vitamins or other products of Heading 29.36,"Otros productos intermedios de la fabricación de antibióticos o vitaminas u otros productos de la Partida 29.36,",D'autres produits intermédiaires de la fabrication d'antibiotiques ou de vitamines ou d'autres produits du n. 29.36
38249921,Ácidos graxos dimerizados; preparações contendo ácidos graxos dimerizados,Dimerized fatty acids; preparations containing dimerized fatty acids,Ácidos grasos dimerizados; preparaciones que contienen ácidos grasos dimerizados,Les acides gras dimérisés; les préparations contenant des acides gras dimérisés
38249922,Preparações contendo estearoilbenzoilmetano e palmitoilbenzoilmetano; preparações contendo caprilato e caprato de propilenoglicol,Preparations containing stearoyl benzoyl methane and palmitoyl benzoylmethane; preparations containing caprylate and caprate of propylene glycol,Las preparaciones que contienen estearoilbenzoilmetano y palmitoilbenzoilmetano; preparations que contienen caprilato y caprato de propilenoglicol,Les préparations contenant  estearoilbenzoyleméthane et palmitoylebenzoylemethane; les préparations contenant du caprylate et le caprate de propylène glycol
38249923,Preparações contendo triglicerídios dos ácidos caprílico e cáprico,Preparations containing triglycerides of caprylic and capric acids,Las preparaciones que contienen triglicéridos de los ácidos caprílico y cáprico,Les préparations contenant des triglycérides d'acides caprylique et caprique
38249924,Ésteres de álcoois graxos de C12 a C20 do ácido metacrílico e suas misturas; ésteres de ácidos monocarboxílicos de C10 ramificados com glicerol,Esters of fatty alcohols of C12 to C20 of methacrylic acid and mixtures thereof; esters of monocarboxylic C10 branched with glycerol,Ésteres de alcoholes grasos de C12 a C20 del ácido metacrílico y mezclas de los mismos; ésteres de ácidos monocarboxílicos del C10 ramificados con glicerol,Les esters d'alcools gras de C12 à C20 de l'acide méthacrylique et des mélanges de ceux-ci; les esters d'acides monocarboxyliques de C10 ramifiés avec le glycérol
38249925,"Misturas de ésteres dimetílicos dos ácidos adípico, glutárico e succínico; misturas de ácidos dibásicos de C11 e C12; ácidos naftênicos, seus sais insolúveis em água e seus ésteres","Mixtures of dimethyl esters of adipic, succinic and glutaric acid; Mixtures of dibasic acids C11 and C12; naphthenic acids, their water-insoluble salts and esters","Las mezclas de ésteres dimetílicos de los ácidos adípico, succínico y ácido glutárico; mezclas de ácidos dibásicos de C11 C12; ácidos nafténicos, sus sales insolubles en agua y ésteres","Des mélanges d'esters diméthyliques de l'acide adipique, l'acide succinique et l'acide glutamique; des mélanges d'acides dibasiques C11 et C12; les acides naphténiques et leurs sels insolubles dans l'eau et esters"
38249929,Outros derivados de ácidos graxos industriais; outras misturas e preparações contendo álcoois graxos ou ácidos carboxílicos ou derivados destes produtos,Other industrial fatty acid derivatives; Other mixtures and preparations containing fatty alcohols or carboxylic acids or derivatives thereof,Otros derivados de ácidos grasos industriales; Otras mezclas y preparados que contengan alcoholes grasos o ácidos carboxílicos o derivados de los mismos,D'autres dérivés d'acides gras industriels; D'autres mélanges et les préparations contenant des alcools gras ou des acides carboxyliques ou des dérivés de ceux-ci
38249931,"Misturas e preparações para borracha ou plástico e outras misturas e preparações para endurecer resinas sintéticas, colas, pinturas ou usos similares, que contenham isocianatos de hexametileno ou outros isocianatos","Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), containing isocyanates of hexamethylene or other isocyanates","Las mezclas y preparados para caucho o plástico, y otras mezclas y preparaciones para endurecer resinas sintéticas, adhesivos, pinturas o usos similares, que contienen isocianatos de hexametileno u otros isocianatos","Mélanges et préparations pour le caoutchouc ou des plastiques, et autres mélanges et préparations  pour le durcissement des résines synthétiques, des adhésifs, des peintures ou des usages similaires, contenant des isocyanates de hexaméthylène"
38249932,"Misturas e preparações para borracha ou plástico e outras misturas e preparações para endurecer resinas sintéticas, colas, pinturas ou usos similares, que contenham aminas graxas de C8 a C22","Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), which contain fatty amines from C8 to C22","Las mezclas y preparados para caucho o plástico, y otras mezclas y preparaciones para endurecer resinas sintéticas, adhesivos, pinturas o usos similares, que contienen aminas grasas de C8 a C22","Mélanges et préparations pour le caoutchouc ou des plastiques, et autres mélanges et préparations  pour le durcissement des résines synthétiques, des adhésifs, des peintures ou des usages similaires, contenant les amines grasses de C8 à C22"
